,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
123,2015-06-30,41.5,37.0,40,3.407,39.25,0.7675
124,2015-07-01,40.5,36.5,40,3.341,38.5,0.821
125,2015-07-02,41.0,37.0,40,3.382,39.0,0.8445
126,2015-07-03,42.0,37.0,40,3.423,39.5,0.7915
127,2015-07-06,43.0,38.5,40,3.524,40.75,0.7685
128,2015-07-07,45.0,40.0,40,3.671,42.5,0.6345
129,2015-07-08,45.5,40.5,40,3.711,43.0,0.6815
130,2015-07-09,43.5,39.0,40,3.561,41.25,0.727
131,2015-07-10,42.667,37.333,40,3.453,40.0,0.8935
132,2015-07-13,40.5,36.5,40,3.321,38.5,0.845
133,2015-07-14,40.0,36.0,40,3.277,38.0,0.8415
134,2015-07-15,40.0,36.0,40,3.275,38.0,0.7705
135,2015-07-16,39.0,34.333,40,3.16,36.6665,0.7895
136,2015-07-17,38.0,34.5,40,3.124,36.25,0.7875
137,2015-07-20,36.0,32.0,40,2.928,34.0,0.7635
138,2015-07-21,36.0,32.5,40,2.948,34.25,0.7775
139,2015-07-22,37.0,32.0,40,2.967,34.5,0.7445
140,2015-07-23,37.0,32.667,40,2.994,34.8335,0.744
141,2015-07-24,37.333,33.333,40,3.035,35.333,0.6985
142,2015-07-27,38.5,34.0,40,3.107,36.25,0.693
143,2015-07-28,38.0,34.0,40,3.085,36.0,0.69
144,2015-07-29,37.5,33.5,40,3.041,35.5,0.711
145,2015-07-30,37.667,33.667,40,3.06,35.667,0.653
146,2015-07-31,37.5,32.5,40,2.996,35.0,0.6465
147,2015-08-03,37.5,33.5,40,3.033,35.5,0.632
148,2015-08-04,37.667,33.333,40,3.031,35.5,0.6335
149,2015-08-05,37.5,32.5,40,2.988,35.0,0.75
150,2015-08-06,38.0,33.333,40,3.042,35.6665,0.705
151,2015-08-07,38.5,35.0,40,3.132,36.75,0.656
152,2015-08-10,38.0,33.333,40,3.036,35.6665,0.6965
153,2015-08-11,38.0,33.0,40,3.02,35.5,0.627
154,2015-08-12,39.5,34.0,40,3.123,36.75,0.603
155,2015-08-13,37.5,33.0,40,2.996,35.25,0.631
156,2015-08-14,37.5,33.0,40,2.995,35.25,0.655
157,2015-08-17,37.5,33.0,40,2.99,35.25,0.629
158,2015-08-18,37.5,33.0,40,2.988,35.25,0.6385
159,2015-08-19,39.0,34.5,40,3.112,36.75,0.631
160,2015-08-20,39.5,35.0,40,3.152,37.25,0.5835
161,2015-08-21,40.0,35.5,40,3.192,37.75,0.57
162,2015-08-24,44.5,38.5,40,3.498,41.5,0.574
163,2015-08-25,43.5,37.5,40,3.413,40.5,0.751
164,2015-08-26,42.5,38.0,40,3.39,40.25,0.706
165,2015-08-27,39.5,34.0,40,3.099,36.75,0.74
166,2015-08-28,40.5,36.0,40,3.138,38.25,0.7245
167,2015-09-01,41.5,37.0,40,3.297,39.25,0.803
168,2015-09-02,40.0,36.0,40,3.192,38.0,0.7935
169,2015-09-03,40.5,36.0,40,3.211,38.25,0.7295
170,2015-09-04,40.5,36.0,40,3.209,38.25,0.6605
171,2015-09-07,41.0,35.5,40,3.204,38.25,0.6715
172,2015-09-08,40.0,34.5,40,3.12,37.25,0.6775
173,2015-09-09,38.333,33.333,40,3.002,35.833,0.6995
174,2015-09-10,38.667,33.667,40,3.028,36.167,0.6915
175,2015-09-11,38.5,34.0,40,3.033,36.25,0.654
176,2015-09-14,39.333,34.333,40,3.076,36.833,0.656
177,2015-09-15,39.0,34.5,40,3.067,36.75,0.7375
178,2015-09-16,39.0,34.0,40,3.045,36.5,0.775
179,2015-09-17,38.0,33.0,40,2.961,35.5,0.7825
180,2015-09-18,38.0,32.5,40,2.939,35.25,0.6635
181,2015-09-21,38.5,33.5,40,3.143,36.0,0.6765
182,2015-09-22,39.667,34.0,40,3.213,36.8335,0.5965
183,2015-09-23,39.0,33.0,40,3.14,36.0,0.596
184,2015-09-24,42.0,35.0,40,3.352,38.5,0.5885
185,2015-09-25,40.0,34.5,40,3.244,37.25,0.6475
186,2015-09-28,44.5,38.5,40,3.602,41.5,0.5965
187,2015-09-29,43.0,37.5,40,3.493,40.25,0.5845
188,2015-09-30,41.5,36.5,40,3.385,39.0,0.5865
189,2015-10-01,42.0,37.5,40,3.447,39.75,0.5395
190,2015-10-02,41.5,36.0,40,3.36,38.75,0.512
191,2015-10-05,41.0,36.0,40,3.334,38.5,0.5635
192,2015-10-06,40.0,35.0,40,3.247,37.5,0.5975
193,2015-10-07,40.0,35.0,40,3.245,37.5,0.5885
194,2015-10-08,40.5,35.5,40,3.286,38.0,0.5875
195,2015-10-09,41.0,36.0,40,3.327,38.5,0.617
196,2015-10-12,41.0,36.0,40,3.322,38.5,0.5765
197,2015-10-13,42.5,37.0,40,3.426,39.75,0.5875
198,2015-10-14,47.0,41.333,40,3.783,44.1665,0.5445
199,2015-10-15,47.667,42.0,40,3.851,44.8335,0.554
200,2015-10-16,47.0,41.0,40,3.779,44.0,0.547
201,2015-10-19,47.0,41.0,40,3.773,44.0,0.5655
202,2015-10-20,48.0,42.0,40,3.855,45.0,0.628
203,2015-10-21,45.5,40.5,40,3.685,43.0,0.5705
204,2015-10-22,45.0,40.0,40,3.642,42.5,0.501
205,2015-10-23,44.5,38.0,40,3.535,41.25,0.5055
206,2015-10-26,42.0,37.0,40,3.382,39.5,0.4985
207,2015-10-27,43.0,38.0,40,3.464,40.5,0.4415
208,2015-10-28,45.0,39.0,40,3.589,42.0,0.4415
209,2015-10-29,42.333,37.0,40,3.391,39.6665,0.534
210,2015-10-30,42.5,37.0,40,3.396,39.75,0.5215
211,2015-11-02,42.667,37.333,40,3.411,40.0,0.5595
212,2015-11-03,43.0,37.0,40,3.41,40.0,0.5715
213,2015-11-04,40.5,35.5,40,3.24,38.0,0.603
214,2015-11-05,40.5,35.5,40,3.239,38.0,0.6087
215,2015-11-06,40.5,35.5,40,3.237,38.0,0.6953
216,2015-11-09,42.667,37.667,40,3.413,40.167,0.66655
217,2015-11-10,41.667,36.333,40,3.314,39.0,0.62
218,2015-11-11,41.5,36.0,40,3.291,38.75,0.60975
219,2015-11-12,42.0,36.5,40,3.331,39.25,0.60525
220,2015-11-13,41.5,37.0,40,3.329,39.25,0.5599
221,2015-11-16,42.667,36.667,40,3.359,39.667,0.5283
222,2015-11-17,41.5,36.5,40,3.302,39.0,0.5288
223,2015-11-18,41.0,36.0,40,3.258,38.5,0.5055
224,2015-11-19,41.0,35.5,40,3.236,38.25,0.47785
225,2015-11-20,41.333,35.667,40,3.255,38.5,0.47725
226,2015-11-23,40.875,35.875,40,3.239,38.375,0.53215
227,2015-11-24,40.75,36.25,40,3.248,38.5,0.5108
228,2015-11-25,40.75,36.25,40,3.246,38.5,0.47475
229,2015-11-26,40.625,36.625,40,3.255,38.625,0.47125
230,2015-11-27,41.167,36.167,40,3.202,38.667,0.45315
231,2015-11-30,41.5,36.5,40,3.279,39.0,0.47375
232,2015-12-01,41.1,36.1,40,3.244,38.6,0.46755
233,2015-12-02,41.167,36.167,40,3.248,38.667,0.46635
