,DATE,Ask Spread,Bid Spread,Recovery Rate,Default Probability,Mid Spread,Benchmark Rate
50,2015-03-16,1904.843,1619.363,36.0,75.3,1762.103,10.719
51,2015-03-17,1950.422,1655.573,36.0,76.07,1802.9975,10.7205
52,2015-03-18,2050.724,1734.226,36.0,77.693,1892.4750000000001,10.947
53,2015-03-19,2390.577,1990.18,36.0,82.376,2190.3785000000003,11.682
54,2015-03-20,2182.281,1827.304,38.4,82.322,2004.7925,11.378
55,2015-03-23,2242.284,1871.929,34.4,81.119,2057.1065,11.38
56,2015-03-24,2069.171,1742.288,34.4,78.636,1905.7295,10.851
57,2015-03-25,2067.935,1741.383,38.4,80.64,1904.659,10.834
58,2015-03-26,2070.8,1743.693,38.4,80.665,1907.2465000000002,10.8575
59,2015-03-27,2022.029,1706.467,36.0,78.671,1864.248,10.8735
60,2015-03-30,2074.937,1747.161,38.4,80.663,1911.049,10.92
61,2015-03-31,2248.85,1877.586,34.4,81.081,2063.218,11.294
62,2015-04-01,2310.677,1922.881,36.0,82.625,2116.779,11.5295
63,2015-04-02,2375.872,1969.938,36.0,83.398,2172.9049999999997,11.646
64,2015-04-09,2190.87,1835.406,36.0,80.936,2013.138,11.1005
67,2015-04-14,2389.351,1981.135,36.0,83.379,2185.243,11.6145
68,2015-04-15,2459.201,2030.851,36.0,84.161,2245.026,11.616
69,2015-04-16,2891.408,2319.956,36.0,88.21,2605.682,12.507
70,2015-04-17,2997.737,2386.098,34.0,88.241,2691.9175,12.6875
71,2015-04-20,3253.241,2537.553,30.1,88.588,2895.397,12.9815
72,2015-04-21,3404.844,2621.967,30.1,89.542,3013.4055,13.44
73,2015-04-22,3010.972,2395.869,30.1,86.789,2703.4205,12.5385
74,2015-04-23,2808.279,2268.817,30.1,85.038,2538.548,12.163
75,2015-04-24,2806.052,2267.353,34.0,86.595,2536.7025000000003,12.4115
76,2015-04-27,2626.994,2148.808,26.5,81.652,2387.901,11.852
77,2015-04-28,2401.165,1991.3,26.5,78.956,2196.2325,10.7915
78,2015-04-29,2405.661,1994.801,31.0,81.03,2200.2309999999998,11.0525
79,2015-04-30,2155.942,1811.15,31.0,77.634,1983.546,10.746
80,2015-05-05,2420.582,2006.514,31.0,81.117,2213.548,10.933
81,2015-05-06,2424.624,2009.626,33.4,82.25,2217.125,11.0
82,2015-05-07,2359.368,1962.757,29.4,79.581,2161.0625,10.7145
83,2015-05-08,2359.362,1962.815,29.4,79.567,2161.0885,10.654
84,2015-05-11,2356.776,1961.153,29.4,79.481,2158.9645,10.7325
85,2015-05-12,2363.574,1966.418,29.4,79.553,2164.996,10.822
86,2015-05-13,2236.779,1873.137,29.4,77.817,2054.958,10.39
87,2015-05-15,2232.219,1869.878,26.5,76.36,2051.0485,10.4345
88,2015-05-18,2359.613,1963.977,29.333,79.372,2161.795,11.2535
89,2015-05-19,2506.294,2069.362,29.333,81.168,2287.828,10.974
90,2015-05-20,2512.532,2074.06,29.333,81.227,2293.2960000000003,10.933
91,2015-05-21,2368.162,1970.692,29.333,79.434,2169.4269999999997,11.036
93,2015-06-02,2452.912,2033.337,31.0,81.06,2243.1245,11.091
94,2015-06-03,2386.793,1985.867,35.0,82.104,2186.33,10.8115
95,2015-06-04,2326.252,1941.863,33.667,80.695,2134.0575,10.478
96,2015-06-08,2400.724,2047.215,32.25,81.26,2223.9695,11.2295
97,2015-06-11,2340.757,1953.394,32.25,80.089,2147.0755,11.2525
98,2015-06-23,2028.071,1671.736,33.667,77.283,1849.9035,10.3385
99,2015-06-24,2138.636,1753.205,32.25,78.25,1945.9205,10.314
100,2015-06-25,2081.929,1711.769,32.25,77.379,1896.8490000000002,10.7465
101,2015-06-26,2031.901,1674.839,29.667,75.291,1853.37,10.599
102,2015-08-13,1744.666,1424.965,30.667,69.343,1584.8155,9.952
103,2015-08-14,1707.836,1396.465,29.75,68.087,1552.1505,9.458
104,2015-08-17,1598.549,1310.884,30.0,65.787,1454.7165,8.873
105,2015-08-18,1597.974,1310.487,30.0,65.754,1454.2305000000001,9.016
106,2015-08-19,1598.769,1311.139,27.0,64.211,1454.954,9.1955
107,2015-08-20,1669.677,1367.014,29.167,64.16,1518.3455,9.244
108,2015-08-21,1749.237,1428.746,29.167,68.511,1588.9915,9.734
109,2015-08-24,1789.922,1460.165,30.0,69.698,1625.0435,9.6235
110,2015-08-25,1746.028,1426.595,28.167,68.801,1586.3115,9.359
111,2015-08-26,1748.524,1428.535,28.8,68.214,1588.5295,9.0965
112,2015-08-27,1710.335,1399.025,28.8,67.406,1554.68,8.821
113,2015-08-28,1673.167,1370.066,29.75,67.09,1521.6165,8.8575
114,2015-09-01,1679.541,1375.024,26.667,65.574,1527.2824999999998,8.9135
115,2015-09-02,1715.936,1403.472,26.667,66.325,1559.704,9.2115
116,2015-09-03,1677.891,1373.889,29.8,67.103,1525.8899999999999,9.0795
117,2015-09-04,1568.235,1287.412,30.8,65.174,1427.8235,8.909
118,2015-09-15,1474.997,1239.192,35.0,65.385,1357.0945000000002,8.59
119,2015-09-16,1478.484,1241.977,33.75,64.749,1360.2305000000001,8.512
120,2015-09-17,1325.89,1164.149,33.75,61.472,1245.0194999999999,8.3705
121,2015-09-18,1322.303,1161.168,33.75,61.36,1241.7355,8.066
122,2015-09-21,1218.381,1070.108,31.25,58.723,1144.2445,7.9255
123,2015-09-22,1246.756,1095.043,35.0,61.608,1170.8995,8.0075
124,2015-09-23,1245.399,1093.922,38.333,63.487,1169.6605,8.054
125,2015-09-24,1301.29,1142.942,38.333,65.083,1222.116,8.183
126,2015-09-25,1301.055,1142.764,31.25,61.056,1221.9095,8.187
127,2015-09-28,1303.681,1145.014,23.333,57.089,1224.3474999999999,8.116
128,2015-09-29,1330.94,1119.453,23.333,57.097,1225.1965,8.121
129,2015-09-30,1359.25,1143.16,31.25,61.835,1251.205,8.143
130,2015-10-01,1302.163,1095.39,31.25,60.242,1198.7765,8.01
131,2015-10-02,1303.336,1096.339,38.333,64.258,1199.8375,8.0105
132,2015-10-05,1274.277,1072.023,38.333,63.37,1173.15,7.9725
133,2015-10-06,1222.673,1028.268,33.333,58.963,1125.4705,7.7225
134,2015-10-07,1196.74,1028.435,27.5,55.477,1112.5875,7.502
